Ref;Description;Value;Footprint;Quantity;Netclass;Supplier;MPN;Notes
TB1;Terminal Block 2P 5.08mm;CONN_5.08_2P;CONN_5.08_2P;1;Power;LCSC;C123789;12V input
F1;Fuse 2A Slow-Blow 5x20mm;2A 250V;FUSE_HOLDER_5x20;1;Power;LCSC;C223456;Replaceable
GDT1;Gas Discharge Tube;Bourns 2027-09-B;DIP_7.5mm;1;Power;LCSC;C123456;Surge protection
MOV1;Metal Oxide Varistor;14D201K;DISC_14MM;1;Power;LCSC;C234567;14mm disc
R_SURGE1;Resistor Surge;5.6R 2W 5%;R_2512;1;Power;LCSC;C258741;Power resistor
L_SURGE1;Inductor Surge;22uH >=2A;RADIAL_8x10;1;Power;LCSC;C147852;Current rated
D_TVS1;TVS Diode;SMBJ24A;DO-214AA;1;Power;LCSC;C128547;Bidirectional 24V
Q_PROTECT;P-MOSFET Reverse Polarity;AO4407A;SO-8;1;Power;LCSC;C96852;P-ch -30V
R_G1;Gate Pull-up Resistor;100k 1%;R_0805;1;Default;LCSC;C25874;1% precision
R_G2;Gate Pull-down Resistor;100k 1%;R_0805;1;Default;LCSC;C25874;1% precision
DZ_G1;Zener Diode 15V;15V;SOD-123;1;Default;LCSC;C125478;
C1;Bulk Capacitor 12V;470uF 25V Low-ESR;CAP_D8x11.5;1;Power;LCSC;C96547;105C rated
C2;Capacitor Decoupling;1uF 50V X7R;C_1210;1;Default;LCSC;C14637;
C3;Capacitor Decoupling;100nF 50V X7R;C_0805;1;Default;LCSC;C14633;
U2_5V;Buck Regulator IC;MP1584EN-LF-Z;SOIC-8E;1;Power;LCSC;C51478;12V to 5V
CIN_5V1;Input Cap Buck;22uF 50V X7R;C_1210;1;Power;LCSC;C14637;High voltage
CIN_5V2;Input Cap Buck;100nF 50V X7R;C_0805;1;Default;LCSC;C14633;
L_5V;Buck Inductor;10uH >=3A Low-DCR;SMD_6x6;1;Power;LCSC;C47852;Shielded
COUT_5V1;Output Cap Buck;22uF 16V X7R;C_1210;2;Default;LCSC;C14637;
COUT_5V2;Output Cap Buck;22uF 16V X7R;C_1210;2;Default;LCSC;C14637;
COUT_5V3;Output Cap Buck;100nF 16V X7R;C_0805;1;Default;LCSC;C14633;
R_FB1_5V;Feedback Resistor;10k 1%;R_0805;1;Default;LCSC;C25874;1% precision
R_FB2_5V;Feedback Resistor;52.3k 1%;R_0805;1;Default;LCSC;C25874;1% precision
R_EN_5V;Enable Resistor;100k 1%;R_0805;1;Default;LCSC;C25874;
D_OUT5V;Buck Schottky Diode;Schottky 30V 2A;SOD-123;1;Power;LCSC;C147852;
U_3V3_ESP;LDO Regulator ESP;AMS1117-3.3 or TLV70033;SOT-223;1;Power;LCSC;C847125;3.3V 500mA
U_3V3_ANA;LDO Regulator Analog;LP5907 or TLV70033;SOT-223;1;Power;LCSC;C847126;Low noise
C_3V3_ESP1;Decoupling Cap;22uF 16V X7R;C_0805;2;Default;LCSC;C14637;
C_3V3_ESP2;Decoupling Cap;100nF 16V X7R;C_0805;2;Default;LCSC;C14633;
C_3V3_ANA1;Decoupling Cap;22uF 16V X7R;C_0805;2;Default;LCSC;C14637;
C_3V3_ANA2;Decoupling Cap;100nF 16V X7R;C_0805;2;Default;LCSC;C14633;
C_3V3_ANA3;Decoupling Cap;10nF 16V X7R;C_0805;1;Default;LCSC;C14632;Analog filter
U_ESP32;ESP32 Module;ESP32-WROOM-32E;ESP32-WROOM-32E;1;Default;Espressif;;WiFi+BT
C_ESP_DEC1;Decoupling Cap;100nF 16V X7R;C_0805;3;Default;LCSC;C14633;Near MCU
C_ESP_DEC2;Decoupling Cap;100nF 16V X7R;C_0805;3;Default;LCSC;C14633;
C_ESP_DEC3;Decoupling Cap;100nF 16V X7R;C_0805;3;Default;LCSC;C14633;
R_EN_PU;Enable Pull-up;10k 5%;R_0805;1;Default;LCSC;C25871;
R_BOOT_PU;Boot Pull-up;10k 5%;R_0805;1;Default;LCSC;C25871;
R_GPIO0_PD;GPIO0 Pull-down;10k 5%;R_0805;1;Default;LCSC;C25871;
LED_POWER;LED Green;Green LED 0805;LED_0805;1;Default;LCSC;C98471;
R_LED_PWR;LED Resistor;470R 5%;R_0805;1;Default;LCSC;C25871;
LED_WIFI;LED Blue;Blue LED 0805;LED_0805;1;Default;LCSC;C98472;
R_LED_WIFI;LED Resistor;470R 5%;R_0805;1;Default;LCSC;C25871;
